,0_drops,10p_adTime,10p_pfx_medianVis,1p_MOASlen,6months_percent,85p_beta_daybins,85p_beta_monthbins,85p_beta_weekbins,90p_adTime,90p_pfx_medianVis,95p_alpha_daybins,95p_alpha_monthbins,95p_alpha_weekbins,99p_MOASlen,ASN,MOAS_add%,MOAS_pfx_%,Uptime,bogons%_add,bogons%_pfx,highMaxVis_percent,highMedVis_percent,lowMaxVis_percent,lowMedVis_percent,median/unique_pfx,median_adTime,median_adTime_highMaxVis,median_adTime_highMedVis,median_adTime_lowMaxVis,median_adTime_lowMedVis,median_pfx_medianVis,q1_adTime,q1_adTime_highMaxVis,q1_adTime_highMedVis,q1_adTime_lowMaxVis,q1_adTime_lowMedVis,q1_pfx_medianVis,q3_adTime,q3_adTime_highMaxVis,q3_adTime_highMedVis,q3_adTime_lowMaxVis,q3_adTime_lowMedVis,q3_pfx_medianVis,range_MOASlen,rir_count,rir_gini_add,rir_gini_pfx,std_MOASlen,top_rir_add,top_rir_pfx,unassigned%_add,unassigned%_pfx,var_MOASlen,class
0,0,242.621527778,0.0614035752738,1.15740740741e-05,0.962962962963,0.08333333333330001,0.25,0.1,1825.05902778,0.847490634693,0.0,0.272727272727,0.1,288.211805556,5050,0.03153330705559999,0.148148148148,1.0,0.0,0.0,0.8518518518520001,0.666666666667,0.148148148148,0.148148148148,0.7037037037039999,1584.35763889,1599.25347222,1599.77604167,911.470486111,911.470486111,0.809313796232,727.5277777780001,727.5277777780001,1266.28125,438.85416666699996,438.85416666699996,0.439470294913,1824.93402778,1824.93402778,1824.95833333,1250.81423611,1250.81423611,0.8318209100589999,100.62846064799999,1,0.8,0.8,42.007607003242455,1.0,1.0,0.0,0.0,1764.6390461388648,0
1,0,1825.36458333,0.835135212133,1.15740740741e-05,1.0,0.047619047619,0.14285714285700002,0.047619047619,1825.40625,0.854882682785,0.0,0.047619047619,0.047619047619,288.211805556,17359,0.0952380952381,0.0952380952381,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1825.39930556,1825.39930556,1825.39930556,0.0,0.0,0.8548818296490001,1825.36458333,1825.36458333,1825.36458333,0.0,0.0,0.835152044861,1825.39930556,1825.39930556,1825.39930556,0.0,0.0,0.854882541293,0.5350810185189999,1,0.7999999999999999,0.7999999999999999,42.007607003242455,1.0,1.0,0.0,0.0,1764.6390461388648,0
2,8,0.413194444444,0.056797349053999996,1.15740740741e-05,0.0,0.28571428571400004,3.72727272727,1.33333333333,11.9236111111,0.0759051998086,1.2857142857100001,2.3636363636400004,2.5714285714300003,173.38541666700002,10512,0.15,0.15,0.9149,0.0,0.0,0.0,0.0,1.0,1.0,0.18333333333299998,5.53819444444,0.0,0.0,5.53819444444,5.53819444444,0.0707032123412,1.4895833333300001,0.0,0.0,1.4895833333300001,1.4895833333300001,0.06601774959699999,8.119791666669999,0.0,0.0,8.119791666669999,8.119791666669999,0.0743163707128,7.8263888888899995,4,0.6509803921568628,0.6509803921568628,36.1542824515271,0.7647058823530001,0.7647058823530001,0.15,0.15,1307.1321395848006,1
3,0,7.12152777778,0.0216658245081,1.15740740741e-05,0.625441696113,0.052631578947400004,0.143822987093,0.052631578947400004,1043.54513889,0.8763148198019999,0.12453432677000001,1.6666666666699999,0.578947368421,369.88888888900004,4323,0.00710216671033,0.290839902147,1.0,0.0,0.0,0.530578961674,0.459907583582,0.081815710791,0.446860559935,0.38026637673299996,342.034722222,936.322916667,947.015625,1.26041666667,51.375,0.637901264373,51.263888888900006,776.3975694439999,880.3524305560001,0.0138888888889,51.25,0.0289849784842,938.295138889,1043.47743056,1043.5,27.0034722222,290.930555556,0.859012076087,977.201377315,5,0.7916010676608906,0.7731083287969517,61.594262651252606,0.982875058255,0.958900381056,0.986128883669,0.00135906496331,3793.853191551491,0
4,0,1.18402777778,0.393271461717,1.15740740741e-05,0.72893258427,0.019801980198,0.43195266272200006,0.10810810810799999,1822.57638889,0.89793072202,0.0398322851153,0.313725490196,0.184210526316,189.47916666700002,9541,0.026965145996500003,0.0435393258427,1.0,0.0,0.0,0.880617977528,0.8721910112360001,0.0884831460674,0.0884831460674,0.38061797752800003,753.6631944439999,808.4340277780001,808.4340277780001,0.836805555556,0.836805555556,0.854794161635,140.034722222,349.375,351.991319444,0.0555555555556,0.0555555555556,0.833103663824,1070.73958333,1359.375,1364.35243056,12.121527777799999,12.121527777799999,0.883246198218,104.708321759,2,0.7997026523180922,0.79943741209564,51.36563987372558,0.999256630795,0.998593530239,0.045414982730999996,0.0014044943820199999,2638.4289596372673,0
5,0,12.7430555556,0.827077730054,0.0,0.75,0.06666666666669999,0.125,0.06666666666669999,1824.65972222,0.8471462586859999,0.0555555555556,0.125,0.0555555555556,0.0,50300,0.0,0.0,1.0,0.0,0.0,0.980769230769,0.942307692308,0.0192307692308,0.0192307692308,0.519230769231,923.1128472219999,923.1493055560001,923.1527777780001,0.881944444444,0.881944444444,0.837535133952,211.72395833299998,248.23958333299998,325.116319444,0.881944444444,0.881944444444,0.832606001398,1605.87847222,1691.46180556,1716.72743056,0.881944444444,0.881944444444,0.8421045572310001,0.0,1,0.8,0.8,0.0,1.0,1.0,0.0,0.0,0.0,0
6,0,66.4097222222,0.753819726876,1.15740740741e-05,0.75,0.111111111111,0.111111111111,0.111111111111,1137.06597222,0.8803415502399999,0.0,0.0769230769231,0.026315789473700002,288.211805556,3456,0.419405320814,0.181818181818,1.0,0.0,0.0,0.9772727272730001,0.9318181818179999,0.022727272727299998,0.022727272727299998,0.204545454545,868.970486111,869.107638889,869.107638889,0.0,0.0,0.834395474712,477.32638888900004,797.8715277780001,864.842013889,0.0,0.0,0.759925836615,880.364583333,880.364583333,880.364583333,0.0,0.0,0.8737653635959999,66.97568287029999,1,0.7999999999999999,0.7999999999999999,42.007607003242455,1.0,1.0,0.0,0.0,1764.6390461388648,0
7,18,1.97569444444,0.8175161681309999,1.15740740741e-05,0.6,1.0,3.11111111111,1.0,772.8715277780001,0.864764007169,0.0,1.125,1.0,288.211805556,262896,0.25,0.06666666666669999,0.9993,0.0,0.0,1.0,1.0,0.0,0.0,0.06666666666669999,431.17361111099996,431.17361111099996,431.17361111099996,0.0,0.0,0.828952169437,1.97569444444,1.97569444444,1.97569444444,0.0,0.0,0.8289507925849999,737.635416667,737.635416667,737.635416667,0.0,0.0,0.864764007169,0.0,1,0.7999999999999999,0.7999999999999999,42.007607003242455,1.0,1.0,0.0,0.0,1764.6390461388648,0
8,0,0.0138888888889,0.022875816993499998,0.0,0.166666666667,0.166666666667,1.0,0.33333333333299997,1397.95138889,0.833507251817,0.0,0.666666666667,0.166666666667,0.0,197580,0.0,0.0,1.0,0.0,0.0,0.233333333333,0.15,0.766666666667,0.766666666667,0.1,0.0451388888889,288.390625,1613.08680556,0.0451388888889,0.0451388888889,0.028594600729299997,0.020833333333299998,0.513888888889,131.34375,0.020833333333299998,0.020833333333299998,0.0285714285714,0.710069444444,1613.08680556,1824.265625,0.0451388888889,0.0451388888889,0.0695187165775,0.0,1,0.7999999999999999,0.7999999999999999,0.0,1.0,1.0,0.0,0.0,0.0,0
9,1,17.2395833333,0.784258148603,0.0,0.166666666667,1.0,1.0,1.0,619.076388889,0.86919893495,0.0,1.5,0.181818181818,0.0,19157,0.0,0.0,0.9999,0.0,0.0,1.0,1.0,0.0,0.0,0.166666666667,75.0746527778,75.0746527778,75.0746527778,0.0,0.0,0.8079661155,48.2118055556,48.2118055556,48.2118055556,0.0,0.0,0.796915457325,93.62152777780001,93.62152777780001,93.62152777780001,0.0,0.0,0.869198561639,0.0,1,0.7999999999999999,0.8,0.0,1.0,1.0,0.0,0.0,0.0,0
